2026-06-27 09:18:21,319 | INFO     | src.fetcher | Requesting https://rumbomundo.com/around-iceland-a-7-to-13-day-itinerary-for-spring-to-autumn-complete-self-drive-guide
2026-06-27 09:18:21,850 | DEBUG    | src.fetcher | Response 200 in 0.53s (187223 bytes, final URL: https://rumbomundo.com/around-iceland-a-7-to-13-day-itinerary-for-spring-to-autumn-complete-self-drive-guide/)
2026-06-27 09:18:21,866 | DEBUG    | src.parser | Removed 25 noise tag(s)
2026-06-27 09:18:21,867 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:21,889 | INFO     | src.parser | Parsed content: 48489 characters
2026-06-27 09:18:21,901 | DEBUG    | src.parser | Found 199 same-domain link(s)
2026-06-27 09:18:22,406 | INFO     | src.crawler | [8/60] depth 1: https://rumbomundo.com/best-self-drive-plan-for-iceland-15-day-summer-trip-in-a-4x4-car
2026-06-27 09:18:22,407 | INFO     | src.fetcher | Requesting https://rumbomundo.com/best-self-drive-plan-for-iceland-15-day-summer-trip-in-a-4x4-car
2026-06-27 09:18:22,866 | DEBUG    | src.fetcher | Response 200 in 0.46s (104925 bytes, final URL: https://rumbomundo.com/best-self-drive-plan-for-iceland-15-day-summer-trip-in-a-4x4-car/)
2026-06-27 09:18:22,873 | DEBUG    | src.parser | Removed 24 noise tag(s)
2026-06-27 09:18:22,873 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:22,879 | INFO     | src.parser | Parsed content: 14018 characters
2026-06-27 09:18:22,885 | DEBUG    | src.parser | Found 92 same-domain link(s)
2026-06-27 09:18:23,390 | INFO     | src.crawler | [9/60] depth 1: https://rumbomundo.com/winter-trip-to-iceland-a-complete-guide
2026-06-27 09:18:23,391 | INFO     | src.fetcher | Requesting https://rumbomundo.com/winter-trip-to-iceland-a-complete-guide
2026-06-27 09:18:23,921 | DEBUG    | src.fetcher | Response 200 in 0.53s (164739 bytes, final URL: https://rumbomundo.com/winter-trip-to-iceland-a-complete-guide/)
2026-06-27 09:18:23,936 | DEBUG    | src.parser | Removed 26 noise tag(s)
2026-06-27 09:18:23,937 | DEBUG    | src.parser | Content root: <article>
2026-06-27 09:18:23,949 | INFO     | src.parser | Parsed content: 44958 characters
2026-06-27 09:18:23,957 | DEBUG    | src.parser | Found 107 same-domain link(s)
2026-06-27 09:18:24,462 | INFO     | src.crawler | [10/60] depth 1: https://rumbomundo.com/sightseeing-in-iceland-without-a-car
2026-06-27 09:18:24,462 | INFO     | src.fetcher | Requesting https://rumbomundo.com/sightseeing-in-iceland-without-a-car
2026-06-27 09:18:24,956 | DEBUG    | src.fetcher | Response 200 in 0.49s (102096 bytes, final URL: https://rumbomundo.com/sightseeing-in-iceland-without-a-car/)
